car_test_nm,addr_road,x,y,tel,tester,work_time,agency_cd,agency_nm,ssafy_id,reg_dt
㈜영남중공업,"서울특별시 금천구 시흥대로153길 26",37.48,126.90,02-855-9966,5,평일:08:30~17:30,3170000,"서울특별시 금천구",ksh96611,2024-07-31
현대오토모터스,"서울특별시 금천구 두산로 3",37.47,126.89,1588-8297,4,평일:09:00~18:00,3170000,"서울특별시 금천구",ksh96611,2024-07-31
상신정비공업㈜,"서울특별시 금천구 시흥대로 287",37.46,126.90,02-804-5559,4,평일:08:30~17:30,3170000,"서울특별시 금천구",ksh96611,2024-07-31
청진자동차공업㈜,"서울특별시 서초구 과천대로 904-6",37.47,126.98,02-587-2320,5,09:00~18:00,3210000,"서울특별시 서초구",ksh96611,2024-08-08
양재현대서비스주식회사,"서울특별시 서초구 남부순환로342길 100-9",37.48,127.03,02-572-4665,4,09:00~18:00,3210000,"서울특별시 서초구",ksh96611,2024-08-08
지오스마일상사(주),"서울특별시 강서구 양천로 368(가양동)",37.57,126.84,02-2668-5449,5,평일:09:00~18:00+토요일:09:00~13:00,3150000,"서울특별시 강서구",ksh96611,2023-11-27
교통안전공단구로검사소,"서울특별시 구로구 경인로 113",37.49,126.83,02-2037-6000,14,평일:09:00~18:00+토요일:09:00~13:00,3160000,"서울특별시 구로구",ksh96611,2024-10-14
(주)관악정비센터,"서울특별시 관악구 봉천로 412",37.48,126.95,02-875-8000,2,"평일:08:30~17:00+토요일:08:00~12:00(셋째주 토요일 휴무)",3200000,"서울특별시 관악구",ksh96611,2024-09-30
동서울모터스,"서울특별시 중랑구 망우로55길 24(상봉동)",37.60,127.09,02-496-8110,4,08:30~17:30,3060000,"서울특별시 중랑구",ksh96611,2024-10-25
비케이프라임산업㈜,"서울특별시 금천구 범안로17길 67",37.47,126.89,02-858-4729,3,평일:09:00~18:00,3170000,"서울특별시 금천구",ksh96611,2024-07-31
금천자동차검사정비센타,"서울특별시 금천구 시흥대로27길 26",37.44,126.90,02-893-5579,3,평일:09:00~18:00,3170000,"서울특별시 금천구",ksh96611,2024-07-31
금강자동차정비산업㈜,"서울특별시 금천구 시흥대로 453",37.47,126.90,02-856-7800,4,평일:09:00~18:00,3170000,"서울특별시 금천구",ksh96611,2024-07-31
기마자동차검사정비공업사,"서울특별시 금천구 두산로3길 4",37.47,126.89,02-855-0103,3,평일:09:00~18:00,3170000,"서울특별시 금천구",ksh96611,2024-07-31
(주)미래자동차종합공업사,"서울특별시 강서구 양천로49길 7(가양동)",37.57,126.84,02-3661-4141,6,평일:09:00~18:00+토요일:09:00~13:00,3150000,"서울특별시 강서구",ksh96611,2023-11-27
오신산업(주),"서울특별시 강서구 양천로 462(등촌동)",37.56,126.85,02-3661-3435,4,평일:09:00~18:00+토요일:09:00~13:00,3150000,"서울특별시 강서구",ksh96611,2023-11-27
강서현대서비스(주),"서울특별시 강서구 남부순환로 223(외발산동)",37.55,126.82,02-2661-0072,5,평일:09:00~18:00+토요일:09:00~13:00,3150000,"서울특별시 강서구",ksh96611,2023-11-27
(주)플라잉모터스,"서울특별시 강서구 방화대로 22",37.54,126.82,02-2667-0453,3,평일:09:00~18:00+토요일:09:00~13:00,3150000,"서울특별시 강서구",ksh96611,2023-11-27
(주)신동성자동차,"서울특별시 강서구 양천로 528(등촌동)",37.56,126.86,02-3663-4567,5,평일:09:00~18:00+토요일:09:00~13:00,3150000,"서울특별시 강서구",ksh96611,2023-11-27
강서자동차,"서울특별시 강서구 양천로 372(가양동)",37.57,126.84,02-3663-4569,5,평일:09:00~18:00+토요일:09:00~13:00,3150000,"서울특별시 강서구",ksh96611,2023-11-27
공단써비스센타,"서울특별시 구로구 구로동로 2",37.48,126.89,02-852-1233,4,평일:08:30~18:00+토요일:08:30~13:00,3160000,"서울특별시 구로구",ksh96611,2024-10-14
삼부자동차정비㈜,"서울특별시 구로구 경인로51길 104",37.50,126.87,02-2634-0313,3,평일:08:30~18:00+토요일:08:30~13:00,3160000,"서울특별시 구로구",ksh96611,2024-10-14
케이지모빌리티구로서비스센터주식회사,"서울특별시 구로구 가마산로27길 46",37.50,126.89,02-866-5582,3,평일:08:30~18:00+토요일:08:30~13:00,3160000,"서울특별시 구로구",ksh96611,2024-10-14
