car_test_nm,addr_road,x,y,tel,tester,work_time,agency_cd,agency_nm,reg_dt
삼우자동차정비(합),대전광역시 대덕구 대화로101,36.36607482,127.4088055,042-627-5600,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
새한현대서비스㈜,대전광역시 대덕구 대전로1324,36.37210705,127.4208051,042-634-1122,4,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
신대덕자동차공업사,대전광역시 대덕구 한남로 138번길 12,36.34826809,127.4149508,042-623-7700,3,평일09:00-18:00+토요일09:00-13:00,6300000,대전광역시,2021-10-26
경오자동차㈜,경기도 오산시 오산로 123-23,37.13854672,127.0662778,031-372-8556,4,평일:09:00~18:00+토요일:09:00~13:00,4000000,경기도 오산시,2024-01-05
금성자동차공업사,경기도 오산시 내삼미로 9,37.16391675,127.0669802,031-376-8585,3,평일:09:00~18:00+토요일:09:00~13:00,4000000,경기도 오산시,2024-01-05
현대동탄서비스검사소,경기도 오산시 경기대로 631,37.17761168,127.0572085,031-376-7113,4,평일:09:00~18:00+토요일:09:00~13:00,4000000,경기도 오산시,2024-01-05
신명자동차공업사,경기도 오산시 경기대로 138-6,37.13679473,127.0738342,031-376-3319,4,평일:09:00~18:00+토요일:09:00~13:00,4000000,경기도 오산시,2024-01-05
마스터자동차공업사,경기도 오산시 경기동로 138-34,37.15727129,127.085787,031-373-9081,3,평일:09:00~18:00+토요일:09:00~13:00,4000000,경기도 오산시,2024-01-05
남부현대서비스,"경기도 오산시 가장로534번길 17, 105동",37.15858462,127.0395231,031-373-8572,2,평일:09:00~18:00+토요일:09:00~13:00,4000000,경기도 오산시,2024-01-05
TH모터스,경기도 오산시 청학로 108,37.15839969,127.0649448,031-378-4973,4,평일:09:00~18:00+토요일:09:00~13:00,4000000,경기도 오산시,2024-01-05
대명자동차공업사,경기도 오산시 두곡로 26,37.131733,127.047284,031-378-8552,2,평일:09:00~18:00+토요일:09:00~13:00,4000000,경기도 오산시,2024-01-05
제이원모터스,전북특별자치도 익산시 평동로 806,35.92563006,126.966778,063-842-4975,3,평일:09:00~18:00+토요일:09:00~13:00,4681000,전북특별자치도 익산시,2024-08-19
(유)원창자동차공업사,전북특별자치도 익산시 마한로 57,35.96484218,126.9700766,063-853-1600,3,평일:08:30~17:30+토요일:08:30~12:00,4681000,전북특별자치도 익산시,2024-08-19
하나로공업사,전북특별자치도 익산시 하나로 543-12,35.96944029,126.9784475,063-851-4488,3,평일:08:30~17:30+토요일:08:30~12:00,4681000,전북특별자치도 익산시,2024-08-19
(유)오케이모터스,전북특별자치도 익산시 목천로 16길 27,35.9263039688,126.9515126761,063-843-4949,3,평일:09:00~18:00+토요일:09:00~13:00,4681000,전북특별자치도 익산시,2024-08-19
태양자동차공업사,전북특별자치도 익산시 옛둑2길 83,35.91913891,126.9603827,063-842-1212,3,평일:09:00~18:00+토요일:09:00~13:00,4681000,전북특별자치도 익산시,2024-08-19
㈜영남중공업,서울특별시 금천구 시흥대로153길 26,37.47782878,126.8969244,02-855-9966,5,평일:08:30~17:30,3170000,서울특별시 금천구,2024-07-31
현대오토모터스,서울특별시 금천구 두산로 3,37.4708401,126.8882906,1588-8297,4,평일:09:00~18:00,3170000,서울특별시 금천구,2024-07-31
상신정비공업㈜,서울특별시 금천구 시흥대로 287,37.45891938,126.8980942,02-804-5559,4,평일:08:30~17:30,3170000,서울특별시 금천구,2024-07-31
파워카종합정비,광주광역시 서구 회재유통길 40,35.11282625,126.8503199594,062-385-0075,3,평일:09:00-18:00+토요일:09:00-12:00,3600000,광주광역시 서구,2024-06-19
현대서부서비스(주),광주광역시 서구 풍서좌로 247,35.12669173,126.8426072,062-675-6111,2,평일:09:00-18:00+토요일:09:00-12:00,3600000,광주광역시 서구,2024-06-19
